  1.6757  -0.0530   0.3324   3.4410 
  2.8330   2.8357   1.1532   3.5933 
  0.7356   1.9748   0.3808   1.9283 
  1.8980   1.7982   0.6595   4.5336 
  1.2357   0.9826   0.9541   3.7002 
  0.9174   1.1790  -0.5278   1.9360 
  1.0523   0.5897   0.5123   4.7297 
  1.3439   3.4589   1.9910   3.8246 
  2.8451   2.7171   1.3749   4.6047 
  0.9997   2.5520  -1.7265   1.9553 
  3.9136   2.2897   1.2038   3.5939 
 -1.6163  -1.2523   1.4749   3.6795 
  2.0077   1.3379  -1.2706   3.1845 
  4.0453   1.6861  -2.3876   1.5367 
  1.3435   3.0315   2.1693   4.1048 
  0.6293   1.4178  -1.1859   2.9256 
  0.2062   0.2731  -0.0923   2.9938 
  1.2690   1.0991   0.0907   3.4370 
  4.1757   2.7957  -0.2022   2.3599 
 -1.6885   1.7208   4.8503   5.0871 
  1.6745  -0.1292   0.1506   4.6123 
  3.0160  -0.4408   0.4081   3.9058 
 -0.2223   2.6917   2.1772   6.1379 
  1.7365   1.5684  -0.8603   3.3014 
  0.6248   3.5438   1.9891   3.3363 
  2.2605   1.4657   2.1539   5.3374 
  1.4369   0.0303  -0.1368   3.8101 
  1.1167   1.0871   2.3055   5.4160 
  1.5001  -0.0481  -2.2128   3.1341 
 -0.2435   1.9561   2.9261   5.7031 
  4.4608   1.5954   1.3383   4.9140 
  3.2343   3.5727   0.6167   2.3450 
  2.6995   1.2671  -0.4785   3.2245 
  3.2397  -0.0016  -0.2422   4.2400 
  4.8617   2.2830   0.5434   2.9510 
  4.4561   2.5859   0.7876   2.9356 
  3.4830   1.5327  -0.3004   4.0444 
  1.4400   1.9292   0.5462   3.7877 
  0.3106   2.2299   3.3960   5.9506 
  2.0399   6.1578   2.9081   4.1884 
  1.0800   1.8243   1.3601   3.2234 
  1.9716   3.4382   2.2800   5.0026 
  2.4303   1.0894   1.0963   4.8904 
  1.8899   4.0990   2.1622   4.3217 
  2.2631   5.3273   4.9749   3.8743 
  1.1528   4.8434   1.1431   3.2756 
  6.0911   2.9150   0.6661   3.1303 
 -0.7565  -0.5112  -0.4004   2.8226 
  2.6915   3.0554   4.3509   5.6889 
  2.0320   2.5944   1.3375   2.7182 
  2.4796   0.8536  -0.0441   3.2489 
  2.2639   0.1786   0.2508   4.6182 
  1.6569   2.1555   0.8271   4.3014 
 -1.2973   4.0840   4.0404   5.1620 
  3.1187   1.8542   1.4205   4.2731 
  1.5491   0.6953   0.4419   3.8046 
  1.9120   5.0975   2.7850   2.5205 
  1.1616   1.2969   3.7250   5.5763 
  1.0232   3.4949  -0.0561   4.2536 
  3.6582   4.0547   6.0346   7.0775 
  0.8471  -0.6337  -0.1559   3.0518 
  0.1211   0.6827   2.9147   6.3553 
  0.7893   2.6089   3.3973   5.3560 
  3.4122   3.9676   1.6748   3.5732 
  2.3950   0.8989   0.5106   4.7097 
  1.9631   2.0090   2.1922   5.1043 
  2.6933   2.4667   1.3674   4.0573 
  1.4611   4.1140   2.1643   3.4029 
  4.6016   1.5851  -0.0588   2.9965 
  0.2056   1.1218   2.7917   5.7855 
  3.3500   4.1418   0.3848   1.2054 
  2.0127   3.0180   0.6982   2.5411 
  1.1366   2.8732   1.3444   4.6184 
 -0.5138   0.6205   2.9124   5.3342 
  3.2247  -0.9681  -1.8201   2.3522 
  1.5059   2.3192   1.2573   2.3732 
 -0.3189   3.2255   1.6822   3.1024 
  0.1045   0.4810  -0.8746   4.0194 
  3.3255   0.7078  -1.6695   3.3998 
  2.8553   4.9681   2.0069   3.9362 
  3.1130   0.4361   1.8212   5.5793 
  4.6411   3.2952   1.0591   3.3447 
  2.4679   1.4548   1.9075   4.3151 
  3.3101   1.9978   2.4215   4.8868 
  0.8400   3.4955   2.9417   4.1257 
  1.8864   2.3347   1.0661   4.4954 
  1.7965   2.3538   2.7119   5.5231 
  3.8046   2.3627  -1.7312   3.4977 
  1.7432  -0.0647   0.0610   4.6899 
  3.0711   2.6772   0.7025   3.0267 
  1.2207   1.3077   0.4932   4.3711 
  5.0039   1.9380   0.8518   2.8435 
  3.2091   0.9835   0.7053   3.3084 
  2.7321   1.9780   3.5032   7.2972 
  1.0758   4.1333   3.1050   2.7180 
  2.0209   1.5231   2.4737   4.3662 
  2.7251   1.8587   2.5584   5.6463 
 -2.3724   0.3389   0.9127   3.2679 
  0.5224  -0.5721  -0.3948   3.5481 
  0.3609   0.5943  -0.3035   2.9461 
